ENGINE_ID,SYSTEM_ID,PARENT_ITEM_ID,CHILD_ITEM_ID,BOM_LEVEL,SEQUENCENO,PATH
MAT002384,MAT002385,MAT001733,MAT001540,4,1,->MAT002385->MAT001536->MAT001535->MAT001733->MAT001540
MAT002384,MAT002385,MAT001733,MAT001543,4,2,->MAT002385->MAT001536->MAT001535->MAT001733->MAT001543
MAT002384,MAT002385,MAT001739,MAT001644,3,1,->MAT002385->MAT001741->MAT001739->MAT001644
MAT002384,MAT002385,MAT001741,MAT000179,2,23,->MAT002385->MAT001741->MAT000179
MAT002384,MAT002385,MAT001741,MAT000182,2,22,->MAT002385->MAT001741->MAT000182
MAT002384,MAT002385,MAT001741,MAT000275,2,25,->MAT002385->MAT001741->MAT000275
MAT002384,MAT002385,MAT001741,MAT000276,2,26,->MAT002385->MAT001741->MAT000276
MAT002384,MAT002385,MAT001741,MAT000282,2,13,->MAT002385->MAT001741->MAT000282
MAT002384,MAT002385,MAT001741,MAT000297,2,15,->MAT002385->MAT001741->MAT000297
MAT002384,MAT002385,MAT001741,MAT000298,2,16,->MAT002385->MAT001741->MAT000298
MAT002384,MAT002385,MAT001741,MAT000313,2,12,->MAT002385->MAT001741->MAT000313
MAT002384,MAT002385,MAT001741,MAT000327,2,14,->MAT002385->MAT001741->MAT000327
MAT002384,MAT002385,MAT001741,MAT000338,2,17,->MAT002385->MAT001741->MAT000338
MAT002384,MAT002385,MAT001741,MAT000339,2,18,->MAT002385->MAT001741->MAT000339
MAT002384,MAT002385,MAT001741,MAT000354,2,19,->MAT002385->MAT001741->MAT000354
MAT002384,MAT002385,MAT001741,MAT000428,2,21,->MAT002385->MAT001741->MAT000428
MAT002384,MAT002385,MAT001741,MAT000431,2,20,->MAT002385->MAT001741->MAT000431
MAT002384,MAT002385,MAT001741,MAT000547,2,2,->MAT002385->MAT001741->MAT000547
MAT002384,MAT002385,MAT001741,MAT000548,2,3,->MAT002385->MAT001741->MAT000548
MAT002384,MAT002385,MAT001741,MAT000549,2,4,->MAT002385->MAT001741->MAT000549
MAT002384,MAT002385,MAT001741,MAT000550,2,5,->MAT002385->MAT001741->MAT000550
MAT002384,MAT002385,MAT001741,MAT000551,2,6,->MAT002385->MAT001741->MAT000551
MAT002384,MAT002385,MAT001741,MAT000552,2,7,->MAT002385->MAT001741->MAT000552
MAT002384,MAT002385,MAT001741,MAT000553,2,8,->MAT002385->MAT001741->MAT000553
MAT002384,MAT002385,MAT001741,MAT000554,2,9,->MAT002385->MAT001741->MAT000554
MAT002384,MAT002385,MAT001741,MAT000764,2,10,->MAT002385->MAT001741->MAT000764
MAT002384,MAT002385,MAT001741,MAT001237,2,24,->MAT002385->MAT001741->MAT001237
MAT002384,MAT002385,MAT001741,MAT001238,2,27,->MAT002385->MAT001741->MAT001238
MAT002384,MAT002385,MAT001741,MAT001739,2,11,->MAT002385->MAT001741->MAT001739
MAT002384,MAT002385,MAT001741,MAT001740,2,1,->MAT002385->MAT001741->MAT001740
MAT002384,MAT002385,MAT001742,MAT000126,4,1,->MAT002385->MAT001930->MAT001929->MAT001742->MAT000126
MAT002384,MAT002385,MAT001792,MAT000021,3,1,->MAT002385->MAT002082->MAT001792->MAT000021
MAT002384,MAT002385,MAT001797,MAT001798,3,1,->MAT002385->MAT002082->MAT001797->MAT001798
MAT002384,MAT002385,MAT001797,MAT001799,3,2,->MAT002385->MAT002082->MAT001797->MAT001799
MAT002384,MAT002385,MAT001798,MAT000021,4,1,->MAT002385->MAT002082->MAT001797->MAT001798->MAT000021
MAT002384,MAT002385,MAT001799,MAT000021,4,1,->MAT002385->MAT002082->MAT001797->MAT001799->MAT000021
MAT002384,MAT002385,MAT001800,MAT001801,3,1,->MAT002385->MAT002082->MAT001800->MAT001801
MAT002384,MAT002385,MAT001801,MAT000021,4,1,->MAT002385->MAT002082->MAT001800->MAT001801->MAT000021
MAT002384,MAT002385,MAT001802,MAT001803,3,1,->MAT002385->MAT002082->MAT001802->MAT001803
MAT002384,MAT002385,MAT001803,MAT000021,4,1,->MAT002385->MAT002082->MAT001802->MAT001803->MAT000021
MAT002384,MAT002385,MAT001805,MAT002175,3,1,->MAT002385->MAT002082->MAT001805->MAT002175
MAT002384,MAT002385,MAT001805,MAT002176,3,2,->MAT002385->MAT002082->MAT001805->MAT002176
MAT002384,MAT002385,MAT001806,MAT001807,3,1,->MAT002385->MAT002082->MAT001806->MAT001807
MAT002384,MAT002385,MAT001806,MAT001808,3,2,->MAT002385->MAT002082->MAT001806->MAT001808
MAT002384,MAT002385,MAT001807,MAT000021,4,1,->MAT002385->MAT002082->MAT001806->MAT001807->MAT000021
MAT002384,MAT002385,MAT001808,MAT000021,4,1,->MAT002385->MAT002082->MAT001806->MAT001808->MAT000021
MAT002384,MAT002385,MAT001809,MAT001810,3,1,->MAT002385->MAT002082->MAT001809->MAT001810
MAT002384,MAT002385,MAT001810,MAT000021,4,1,->MAT002385->MAT002082->MAT001809->MAT001810->MAT000021
MAT002384,MAT002385,MAT001811,MAT002264,3,1,->MAT002385->MAT002082->MAT001811->MAT002264
MAT002384,MAT002385,MAT001811,MAT002265,3,2,->MAT002385->MAT002082->MAT001811->MAT002265
MAT002384,MAT002385,MAT001812,MAT002174,3,2,->MAT002385->MAT002082->MAT001812->MAT002174
MAT002384,MAT002385,MAT001812,MAT002261,3,1,->MAT002385->MAT002082->MAT001812->MAT002261
MAT002384,MAT002385,MAT001812,MAT002262,3,3,->MAT002385->MAT002082->MAT001812->MAT002262
MAT002384,MAT002385,MAT001812,MAT002263,3,4,->MAT002385->MAT002082->MAT001812->MAT002263
MAT002384,MAT002385,MAT001813,MAT001814,3,1,->MAT002385->MAT002082->MAT001813->MAT001814
MAT002384,MAT002385,MAT001814,MAT000021,4,1,->MAT002385->MAT002082->MAT001813->MAT001814->MAT000021
MAT002384,MAT002385,MAT001815,MAT000021,4,1,->MAT002385->MAT002082->MAT002001->MAT001815->MAT000021
MAT002384,MAT002385,MAT001818,MAT001819,3,1,->MAT002385->MAT002082->MAT001818->MAT001819
MAT002384,MAT002385,MAT001818,MAT001820,3,2,->MAT002385->MAT002082->MAT001818->MAT001820
MAT002384,MAT002385,MAT001819,MAT000021,4,1,->MAT002385->MAT002082->MAT001818->MAT001819->MAT000021
MAT002384,MAT002385,MAT001820,MAT000021,4,1,->MAT002385->MAT002082->MAT001818->MAT001820->MAT000021
MAT002384,MAT002385,MAT001820,MAT000361,4,2,->MAT002385->MAT002082->MAT001818->MAT001820->MAT000361
MAT002384,MAT002385,MAT001822,MAT001823,3,1,->MAT002385->MAT002338->MAT001822->MAT001823
MAT002384,MAT002385,MAT001824,MAT001825,4,1,->MAT002385->MAT002071->MAT002067->MAT001824->MAT001825
MAT002384,MAT002385,MAT001833,MAT001834,4,1,->MAT002385->MAT002071->MAT002067->MAT001833->MAT001834
MAT002384,MAT002385,MAT001835,MAT000107,4,1,->MAT002385->MAT002071->MAT002067->MAT001835->MAT000107
MAT002384,MAT002385,MAT001838,MAT000082,4,1,->MAT002385->MAT002071->MAT002067->MAT001838->MAT000082
MAT002384,MAT002385,MAT001839,MAT001122,3,2,->MAT002385->MAT002082->MAT001839->MAT001122
MAT002384,MAT002385,MAT001839,MAT001840,3,1,->MAT002385->MAT002082->MAT001839->MAT001840
MAT002384,MAT002385,MAT001840,MAT000021,4,1,->MAT002385->MAT002082->MAT001839->MAT001840->MAT000021
MAT002384,MAT002385,MAT001840,MAT000022,4,2,->MAT002385->MAT002082->MAT001839->MAT001840->MAT000022
